Compressor_Level:3 Granularity:704  Compression_Ratio:70.34404
Compressor_Level:4 Granularity:704  Compression_Ratio:78.16249
Compressor_Level:5 Granularity:704  Compression_Ratio:78.16249
Compressor_Level:6 Granularity:704  Compression_Ratio:78.16372
Compressor_Level:7 Granularity:704  Compression_Ratio:78.16372
Compressor_Level:8 Granularity:704  Compression_Ratio:78.16372
Compressor_Level:9 Granularity:704  Compression_Ratio:78.16372
Compressor_Level:0 Granularity:768  Compression_Ratio:0.99353
Compressor_Level:1 Granularity:768  Compression_Ratio:63.95159
Compressor_Level:2 Granularity:768  Compression_Ratio:63.95446
Compressor_Level:3 Granularity:768  Compression_Ratio:76.73206
Compressor_Level:4 Granularity:768  Compression_Ratio:85.26003
Compressor_Level:5 Granularity:768  Compression_Ratio:85.26077
Compressor_Level:6 Granularity:768  Compression_Ratio:85.26222
Compressor_Level:7 Granularity:768  Compression_Ratio:85.26222
Compressor_Level:8 Granularity:768  Compression_Ratio:85.26222
Compressor_Level:9 Granularity:768  Compression_Ratio:85.26222
Compressor_Level:0 Granularity:832  Compression_Ratio:0.99403
Compressor_Level:1 Granularity:832  Compression_Ratio:69.27515
Compressor_Level:2 Granularity:832  Compression_Ratio:69.27852
Compressor_Level:3 Granularity:832  Compression_Ratio:72.28503
Compressor_Level:4 Granularity:832  Compression_Ratio:83.13237
Compressor_Level:5 Granularity:832  Compression_Ratio:83.13237
Compressor_Level:6 Granularity:832  Compression_Ratio:83.13376
Compressor_Level:7 Granularity:832  Compression_Ratio:83.13376
Compressor_Level:8 Granularity:832  Compression_Ratio:83.13376
Compressor_Level:9 Granularity:832  Compression_Ratio:83.13376
Compressor_Level:0 Granularity:896  Compression_Ratio:0.99445
Compressor_Level:1 Granularity:896  Compression_Ratio:68.86748
Compressor_Level:2 Granularity:896  Compression_Ratio:68.87080
Compressor_Level:3 Granularity:896  Compression_Ratio:74.60094
Compressor_Level:4 Granularity:896  Compression_Ratio:89.52166
Compressor_Level:5 Granularity:896  Compression_Ratio:89.52085
Compressor_Level:6 Granularity:896  Compression_Ratio:89.52326
Compressor_Level:7 Granularity:896  Compression_Ratio:89.52326
Compressor_Level:8 Granularity:896  Compression_Ratio:89.52326
Compressor_Level:9 Granularity:896  Compression_Ratio:89.52326
Compressor_Level:0 Granularity:960  Compression_Ratio:0.99482
Compressor_Level:1 Granularity:960  Compression_Ratio:73.78116
Compressor_Level:2 Granularity:960  Compression_Ratio:73.78498
Compressor_Level:3 Granularity:960  Compression_Ratio:79.92308
Compressor_Level:4 Granularity:960  Compression_Ratio:95.90678
Compressor_Level:5 Granularity:960  Compression_Ratio:95.90585
Compressor_Level:6 Granularity:960  Compression_Ratio:95.90769
Compressor_Level:7 Granularity:960  Compression_Ratio:95.90769
Compressor_Level:8 Granularity:960  Compression_Ratio:95.90769
Compressor_Level:9 Granularity:960  Compression_Ratio:95.90769
Compressor_Level:0 Granularity:1024  Compression_Ratio:0.99514
Compressor_Level:1 Granularity:1024  Compression_Ratio:73.07869
Compressor_Level:2 Granularity:1024  Compression_Ratio:70.56609
Compressor_Level:3 Granularity:1024  Compression_Ratio:85.24691
Compressor_Level:4 Granularity:1024  Compression_Ratio:102.29472
Compressor_Level:5 Granularity:1024  Compression_Ratio:102.29472
Compressor_Level:6 Granularity:1024  Compression_Ratio:102.29682
Compressor_Level:7 Granularity:1024  Compression_Ratio:102.29682
Compressor_Level:8 Granularity:1024  Compression_Ratio:102.29682
Compressor_Level:9 Granularity:1024  Compression_Ratio:102.29682
Compressor_Level:0 Granularity:1088  Compression_Ratio:0.99542
Compressor_Level:1 Granularity:1088  Compression_Ratio:72.46944
Compressor_Level:2 Granularity:1088  Compression_Ratio:72.47366
Compressor_Level:3 Granularity:1088  Compression_Ratio:77.64209
Compressor_Level:4 Granularity:1088  Compression_Ratio:90.58385
Compressor_Level:5 Granularity:1088  Compression_Ratio:90.58385
Compressor_Level:6 Granularity:1088  Compression_Ratio:90.58549
Compressor_Level:7 Granularity:1088  Compression_Ratio:90.58549
Compressor_Level:8 Granularity:1088  Compression_Ratio:90.58549
Compressor_Level:9 Granularity:1088  Compression_Ratio:90.58549
Compressor_Level:0 Granularity:1152  Compression_Ratio:0.99568
Compressor_Level:1 Granularity:1152  Compression_Ratio:76.72793
Compressor_Level:2 Granularity:1152  Compression_Ratio:76.73206
Compressor_Level:3 Granularity:1152  Compression_Ratio:79.37273
Compressor_Level:4 Granularity:1152  Compression_Ratio:95.90678
Compressor_Level:5 Granularity:1152  Compression_Ratio:95.90678
Compressor_Level:6 Granularity:1152  Compression_Ratio:95.90862
Compressor_Level:7 Granularity:1152  Compression_Ratio:95.90862
Compressor_Level:8 Granularity:1152  Compression_Ratio:95.90862
Compressor_Level:9 Granularity:1152  Compression_Ratio:95.90862
Compressor_Level:0 Granularity:1216  Compression_Ratio:0.99590
Compressor_Level:1 Granularity:1216  Compression_Ratio:80.98709
Compressor_Level:2 Granularity:1216  Compression_Ratio:80.99170
Compressor_Level:3 Granularity:1216  Compression_Ratio:80.98907
Compressor_Level:4 Granularity:1216  Compression_Ratio:101.23016
